place_id,name,address,cuisine,parent_friendly_level,google_maps_url,phone,website_url,reservation_url
manual-little-tree-food-0km,小小樹食 0km 山物所,台北市大安區金山南路二段203巷34號,蔬食料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B0%8F%E6%A8%B9%E9%A3%9F%200km%20%E5%B1%B1%E7%89%A9%E6%89%80%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E9%87%91%E5%B1%B1%E5%8D%97%E8%B7%AF%E4%BA%8C%E6%AE%B5203%E5%B7%B734%E8%99%9F,,,
manual-little-tree-food-daan,小小樹食 大安店,台北市大安區大安路一段116巷17號,蔬食料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B0%8F%E6%A8%B9%E9%A3%9F%20%E5%A4%A7%E5%AE%89%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E5%A4%A7%E5%AE%89%E8%B7%AF%E4%B8%80%E6%AE%B5116%E5%B7%B717%E8%99%9F,,,
manual-little-tree-food-noke,小小樹食 忠泰店 NOKE,台北市中山區樂群三路200號4樓,蔬食料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B0%8F%E6%A8%B9%E9%A3%9F%20%E5%BF%A0%E6%B3%B0%E5%BA%97%20NOKE%20%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E6%A8%82%E7%BE%A4%E4%B8%89%E8%B7%AF200%E8%99%9F4%E6%A8%93,,,
manual-little-tree-food-dunnan,小小樹食 敦南店,台北市大安區敦化南路二段39-1號,蔬食料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B0%8F%E6%A8%B9%E9%A3%9F%20%E6%95%A6%E5%8D%97%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E6%95%A6%E5%8C%96%E5%8D%97%E8%B7%AF%E4%BA%8C%E6%AE%B539-1%E8%99%9F,,,
manual-little-tree-food-breeze-nanshan,小小樹食 微風南山店,台北市信義區松智路17號6樓,蔬食料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B0%8F%E6%A8%B9%E9%A3%9F%20%E5%BE%AE%E9%A2%A8%E5%8D%97%E5%B1%B1%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9D%BE%E6%99%BA%E8%B7%AF17%E8%99%9F6%E6%A8%93,,,
manual-little-tree-food-diamond-towers,小小樹食 Diamond Towers 店,台北市大安區忠孝東路三段268號4樓,蔬食料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B0%8F%E6%A8%B9%E9%A3%9F%20Diamond%20Towers%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF%E4%B8%89%E6%AE%B5268%E8%99%9F4%E6%A8%93,,,
ChIJn56GqSWpQjQRWNpfqjw-qE8,小仺館ココクラ,108台灣臺北市萬華區西門里西寧南路88-1號2樓,日式料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E4%BB%BA%E9%A4%A8%E3%82%B3%E3%82%B3%E3%82%AF%E3%83%A9&query_place_id=ChIJn56GqSWpQjQRWNpfqjw-qE8,,,
ChIJ-8zkfACvQjQRtnDVLroN020,小廚房,112台灣臺北市北投區立賢里承德路七段280巷11號,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%BB%9A%E6%88%BF&query_place_id=ChIJ-8zkfACvQjQRtnDVLroN020,,,
ChIJxyg5guSvQjQR3e_FtvpF9AU,瓦非屋,111台灣臺北市士林區福佳里承德路五段55號3F,咖啡廳,高,https://www.google.com/maps/search/?api=1&query=%E7%93%A6%E9%9D%9E%E5%B1%8B&query_place_id=ChIJxyg5guSvQjQR3e_FtvpF9AU,,,
ChIJTx9g6ImqQjQRS0zkHp2PCwM,老虎店,116台灣臺北市文山區萬興里新光路二段30號,咖啡廳,高,https://www.google.com/maps/search/?api=1&query=%E8%80%81%E8%99%8E%E5%BA%97&query_place_id=ChIJTx9g6ImqQjQRS0zkHp2PCwM,,,
ChIJNztb8TOvQjQR-JKZTFYMiPA,肉醬bar 披薩熱狗堡義大利麵（聚食光店B1）,111台灣臺北市士林區福佳里士商路189號B1,美式料理,高,https://www.google.com/maps/search/?api=1&query=%E8%82%89%E9%86%ACbar%20%E6%8A%AB%E8%96%A9%E7%86%B1%E7%8B%97%E5%A0%A1%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%EF%BC%88%E8%81%9A%E9%A3%9F%E5%85%89%E5%BA%97B1%EF%BC%89&query_place_id=ChIJNztb8TOvQjQR-JKZTFYMiPA,,,
ChIJJXfzUy-vQjQRnDMCtQN-g_U,呀咪食堂,111台灣臺北市士林區福佳里承德路五段55號,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E5%91%80%E5%92%AA%E9%A3%9F%E5%A0%82&query_place_id=ChIJJXfzUy-vQjQRnDMCtQN-g_U,,,
ChIJr1zL6w6pQjQR7vQtUE63e14,季然食事,"60之4號, 濟南路二段幸市里中正區臺北市台灣 100023",其他,高,https://www.google.com/maps/search/?api=1&query=%E5%AD%A3%E7%84%B6%E9%A3%9F%E4%BA%8B&query_place_id=ChIJr1zL6w6pQjQR7vQtUE63e14,,,
manual-jinguobei-hotpot-neihu,金鍋盃小火鍋,11452臺北市內湖區港華里環山路二段37號,火鍋,高,https://www.google.com/maps/search/?api=1&query=%E9%87%91%E9%8D%8B%E7%9B%83%E5%B0%8F%E7%81%AB%E9%8D%8B%2011452%E8%87%BA%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E6%B8%AF%E8%8F%AF%E9%87%8C%E7%92%B0%E5%B1%B1%E8%B7%AF%E4%BA%8C%E6%AE%B537%E8%99%9F,,,
ChIJyRj-s-2pQjQR_24Q7W3V3l4,紅磡 新飲茶 （林森店）,10491台灣臺北市中山區林森北路263號2樓之1,港式料理,高,https://www.google.com/maps/place/%E7%B4%85%E7%A3%A1+%E6%96%B0%E9%A3%B2%E8%8C%B6/data=!4m2!3m1!1s0x3442a967d62b0b97:0xca98949838299fb1?sa=X&ved=1t:242&ictx=111,,,
ChIJ-V91x1auQjQR3ig2R0QvPLM,淳覺植饌咖啡坊,112台灣台北市北投区大同里育仁路16號3樓,咖啡廳,高,https://www.google.com/maps/search/?api=1&query=%E6%B7%B3%E8%A6%BA%E6%A4%8D%E9%A5%8C%E5%92%96%E5%95%A1%E5%9D%8A&query_place_id=ChIJ-V91x1auQjQR3ig2R0QvPLM,,,
manual-mwd-dazhi-zhifu,麥味登 大直植福店,台北市中山區北安路608巷5弄7號,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E9%BA%A5%E5%91%B3%E7%99%BB%20%E5%A4%A7%E7%9B%B4%E6%A4%8D%E7%A6%8F%E5%BA%97,,,
ChIJpSEs6gCtQjQRG-t-O5vmldk,喜相逢麵館,114台灣臺北市內湖區五分里東湖路106巷7弄3號,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E5%96%9C%E7%9B%B8%E9%80%A2%E9%BA%B5%E9%A4%A8&query_place_id=ChIJpSEs6gCtQjQRG-t-O5vmldk,,,
ChIJh09PZ5-pQjQRvA-lfoisNwc,晴朝本味,111台灣臺北市士林區仁勇里文林路80號1樓,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E6%99%B4%E6%9C%9D%E6%9C%AC%E5%91%B3&query_place_id=ChIJh09PZ5-pQjQRvA-lfoisNwc,,,
ChIJU_siVgCpQjQRVOP33fclDeg,想家•饗家 家庭料理,100台灣臺北市中正區黎明里信陽街26-10號,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E6%83%B3%E5%AE%B6%E2%80%A2%E9%A5%97%E5%AE%B6%20%E5%AE%B6%E5%BA%AD%E6%96%99%E7%90%86&query_place_id=ChIJU_siVgCpQjQRVOP33fclDeg,,,
ChIJybpQZV2vQjQRGEIYQ6T7QOk,義品院義大利麵,111台灣臺北市士林區福佳里承德路五段55號2樓,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E7%BE%A9%E5%93%81%E9%99%A2%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5&query_place_id=ChIJybpQZV2vQjQRGEIYQ6T7QOk,,,
ChIJ4f0XTJyvQjQRkZbOhd6LqgM,鼎豐FOOD,111台灣臺北市士林區福佳里承德路五段55號,吃到飽,高,https://www.google.com/maps/search/?api=1&query=%E9%BC%8E%E8%B1%90FOOD&query_place_id=ChIJ4f0XTJyvQjQRkZbOhd6LqgM,,,
ChIJzbdQk3SrQjQR3tQSV3Xo0Wg,暫停歇業,106台灣臺北市大安區光武里大安路一段31巷42號1樓,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E6%9A%AB%E5%81%9C%E6%AD%87%E6%A5%AD&query_place_id=ChIJzbdQk3SrQjQR3tQSV3Xo0Wg,,,
ChIJf4_MRW6pQjQRQPr0ZtXPyHg,隨意小吃,10491台灣臺北市中山區正得里中山北路一段33巷10號,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E9%9A%A8%E6%84%8F%E5%B0%8F%E5%90%83&query_place_id=ChIJf4_MRW6pQjQRQPr0ZtXPyHg,,,
ChIJ_wm5zH6pQjQReWdYJzi5AxY,隨意吧-公企店 Sui Business Lounge,106台灣臺北市大安區永康里金華街187號,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E9%9A%A8%E6%84%8F%E5%90%A7-%E5%85%AC%E4%BC%81%E5%BA%97%20Sui%20Business%20Lounge&query_place_id=ChIJ_wm5zH6pQjQReWdYJzi5AxY,,,
ChIJo1AkxEerQjQRqZifoDTKgEw,靜心苑,115台灣臺北市南港區昆陽街164號,茶館/輕食,高,https://www.google.com/maps/search/?api=1&query=%E9%9D%9C%E5%BF%83%E8%8B%91&query_place_id=ChIJo1AkxEerQjQRqZifoDTKgEw,,,
ChIJFe7qqgCrQjQRzlALrqyVN24,鴨覓 烤鴨餐廳 - 信義南山店,110台灣臺北市信義區西村里松智路17號B1,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E9%B4%A8%E8%A6%93%20%E7%83%A4%E9%B4%A8%E9%A4%90%E5%BB%B3%20-%20%E4%BF%A1%E7%BE%A9%E5%8D%97%E5%B1%B1%E5%BA%97&query_place_id=ChIJFe7qqgCrQjQRzlALrqyVN24,,,
ChIJ6RM4d9-pQjQRKqFhR_gCMdI,默爾 pasta pizza(台北誠品南西店),10444台灣臺北市中山區民安里南京西路14號3樓,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E9%BB%98%E7%88%BE%20pasta%20pizza(%E5%8F%B0%E5%8C%97%E8%AA%A0%E5%93%81%E5%8D%97%E8%A5%BF%E5%BA%97)&query_place_id=ChIJ6RM4d9-pQjQRKqFhR_gCMdI,,,
ChIJeV5-UgCrQjQR_0JeHWyEkyg,默爾 pasta pizza(松山車站店),105台灣臺北市信義區慈祐里松山路11號,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E9%BB%98%E7%88%BE%20pasta%20pizza(%E6%9D%BE%E5%B1%B1%E8%BB%8A%E7%AB%99%E5%BA%97)&query_place_id=ChIJeV5-UgCrQjQR_0JeHWyEkyg,,,
