place_id,name,phone,website_url,reservation_url
ChIJjcMN1u2rQjQR2TXnggAE0h8,「早安亞譜-興中店,02 2783 5661,https://www.facebook.com/%E6%97%A9%E5%AE%89%E4%BA%9E%E8%AD%9C%E8%88%88%E4%B8%AD%E5%BA%97-100280088887854,
ChIJZ7FzJUutQjQRqXgyxibc8kE,『北安店』巷弄吐司,02 8509 3748,https://lanetoast.com/,
ChIJqzjo9MarQjQR1Lnxm5t4wfE,#LATTICE 比利時．列日鬆餅,02 2775 3660,,
ChIJQUG7TZ2pQjQRIkL2CT9NOMU,🌈維克私廚🏳️‍🌈萬華異國料理推薦,0926 356 988,https://portaly.cc/weikesichu,
ChIJq6qqqgasQjQRUVuv8NetxkA,1010湘 天母三越店,02 2875 2955,http://www.1010restaurant.com/,
ChIJ0SFCGyOrQjQRx-fDUrsYJvc,1010湘食堂 遠百信義店,02 2729 0597,https://www.1010restaurant.com/,
ChIJibotTQCvQjQRrTBtFzaQncE,1021炭烤吐司-石牌致遠店,02 2821 8353,,
ChIJc9Q84qepQjQRbp2NUplR8x8,108早午餐（貴陽店),02 2311 6638,,
ChIJT4GR792rQjQRTknPcqYROQM,11PASTA食義_南京店,02 2752 8611,,
ChIJcQY8MKipQjQRUUFUWrZM7Fg,157料理,02 2314 3895,,
ChIJm0n_IGWqQjQR8o7BmQS0mm0,191 enjoy 早餐店,02 2234 3191,https://www.facebook.com/pages/191enjoy-%E6%97%A9%E9%A4%90/399037973599001,
ChIJ24oL92qvQjQRAgYcZh0ScI8,1975 Antique’s Cafe Tea Room,02 2897 6885,https://www.facebook.com/743580522660711/,
ChIJW0OQrW6rQjQRTBBxz1LZCdw,1985窯烤披薩(台北中山店),02 2515 1985,https://1985pizza.com.tw/,
ChIJ4cQJ4KivQjQR1Tvuk-F3hxo,1996 COFFEE,02 2898 5289,https://instagram.com/1996_coffee?igshid=YmMyMTA2M2Y=,
ChIJh3gOxAmpQjQRnmo-kWg8e_Y,201 Cafe Restaurant,02 2312 2273,,
ChIJY60vUo2tQjQRwPwb4_mJCOQ,2018搞食堂,02 2631 5679,,
ChIJnYxSleuvQjQRVJKzqV8upU4,208早餐,02 2821 1237,,
