Restaurant Name,Place ID,Reviewer,Rating,Text,Relative Time,Publish Time
Ulove,ChIJlVNfWeqrQjQRqO4OMZ0keZ4,Anne C.,4,"Very nice meal with excellent service! We had the spaghetti with clams, spaghetti with shrimps and the roasted fish. All very tasty. Our server spoke to us English which we appreciate very much and we also got a nice photo as a memento! He made sure to recommend dishes with no milk/cheese. We know this is a popular restaurant as there was a big group of young people celebrating a birthday and they were having a fun time.",2 months ago,2025-12-04T00:24:37.458946948Z
WilsonPark 威爾森公園 （Steak & Wine）,ChIJfzjbheitQjQRa3PNwDBxq6E,Lucy Kung,5,"Very nice service, and the store manager especially recommended us just order one steak will be fine. We accepted the advice, that’s why we are able to enjoy other wonderful dishes.

Honestly to said, the portion of every dish is quite a lot compare with other similar restaurants in Taiwan, so please go with at least 2-4 friends or above will be suitable.

Finally, the store manager especially host us the dessert as the good start of New Year!

I’m highly recommend the restaurant for birthday, date or special occasions.",a month ago,2026-01-01T14:22:03.535457748Z
Beetles | Food | Play,ChIJsS8FHNyvQjQRwtaRVpPMyAI,Jeanne Chang,4,"We visited on a Thursday afternoon and the space was very clean and completely quiet, which is great if you prefer a calmer play café atmosphere. The setup seems best suited for younger kids.

We mainly came for the beetles and reptiles, but didn’t realize the beetle interaction follows a set schedule. We arrived at 5pm and the next session wasn’t until 6:30pm, so it’s helpful to check the timing in advance.

There is a minimum order requirement, so for me and two kids it came out to about 1500. The waffle with fruit and ice cream was the standout dish for us. The fried cod was similar to fish sticks with tartar sauce, and the chicken curry just wasn’t our flavor profile (a bit more garlicky than expected).

The restaurant place a single song on repeat and it is a Christian lullaby. One song on repeat with the entire time we were there.",2 months ago,2025-12-08T00:18:11.046465995Z
Beetles | Food | Play,ChIJsS8FHNyvQjQRwtaRVpPMyAI,Waythingswork,2,"Food is pretty bad.  Prices seem really higher than other restaurants doing a similar kid playground restaurant.   A lot of annoying rules when ordering.  Would be better if they just have general cost price or “play tax”.

Beetle insects decoration was a nice

Again the food was pretty low quality.",8 months ago,2025-06-14T10:27:14.413558615Z
SECOND FLOOR CAFE Xihu,ChIJCyKuHW-sQjQRLbLgae6QWSU,Monica Paul,5,"Loved their menu. Foods are very tasty. They have a kids menu too.. lovely ambience, pet friendly. Highly recommended.",10 months ago,2025-04-21T16:06:32.062929Z
Mr.Tree,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,Megan K. Jefferies,4,"The kids loved the play area with ball pit slide and a whole wall of toy kitchens. I didn’t like that the play area and eating space were separate but overall a good experience. Friendly good service, clean and comfortable, average food. Play area is up to age 6. We paid 250 entrance per child +10% We ordered by QR code and the service was smooth. We arrived a bit before our reservation and had to wait outside. Need reservation.",9 months ago,2025-06-01T10:54:03.830316Z
Mr.Tree,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,Kanishk Verghese,5,"We had a wonderful time at Mr. Tree on a very cold winter day during our trip to Taipei. Our 6 month old son really enjoyed the play area, and we also had some nice food and drinks at the café. The staff were also friendly and helpful. A great place to spend a few hours with kids.

My wife also left her handbag behind and the next day, they sent it back to our hotel with balloons and little fun toys for our baby - super sweet of them!",a month ago,2026-01-14T11:32:55.443287887Z
Mr.Tree,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,s b,5,Food is good but the play area is bigger and more varied they most indoor play areas. With food we spent 4hra here and could of stayed longer,3 months ago,2025-11-24T06:14:03.287296234Z
Mr.Tree,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,Jerusha Sanchez,4,"I visited the play area with my baby and overall had a good experience—the space is clean, thoughtfully designed, and clearly created with young children in mind. Two of the staff members working that Monday afternoon were especially kind, welcoming, and helpful, which I really appreciated.

However, I did feel a bit uncomfortable with how one staff member—an older woman wearing black glasses—interacted with us. She repeatedly told my baby not to put toys in her mouth, even after I let her know that I was okay with it. My baby is under two, so mouthing toys is a completely normal part of development. The toys were wooden and, I assumed, regularly sanitized. The staff member eventually said to give her the toy once we were done with it so she could clean it, which I understand, but the overall tone felt unnecessarily strict and not very supportive of natural play behavior in younger children.

It might be helpful if the play area could clarify their policy around mouthing toys—especially since the space is open to children under two. Clear guidelines (and perhaps a mouthing-friendly toy rotation system) would really help avoid confusion and make all parents feel more supported.

That said, the space itself is lovely and most of the staff were wonderful—I’m sharing this in the hope it helps improve the experience even more.",8 months ago,2025-06-05T09:05:49.135260Z
羽樂歐陸創意料理,ChIJlVNfWeqrQjQRqO4OMZ0keZ4,Daniel Yang,4,"主廚推薦套餐$658，湯+羽樂小點+主餐+甜點+飲料
每個人都有一個餐前麵包，可以續，餐前麵包有人說是本餐廳最好吃的，確實是蠻好吃的，中間有抹一個甜甜的醬
主廚精選濃湯-有點像是Costco馬鈴薯濃湯的味道，裡面沒有料，喝多了有點小膩
西班牙油蒜風味蝦-4隻蝦，大蒜調味，還不錯吃
東方老酒海鮮麵-海鮮蠻多，三隻蝦，三個蛤蠣，一隻小卷，幾個青花菜，缺點是酒味非常重，重到麵吃起來是苦的，難以下嚥。個人覺得最後悔的餐點
布朗尼-布朗尼裡有核桃，3小球草莓冰淇淋
泰式奶蓋-少冰，沒有調甜度，不會太甜
服務員服務都非常好，餐點相比起來個人覺得普通，可能是太有創意了
服務員會免費幫忙拍一張照片，洗出來送給你
低消$300
價格要再加10%服務費
QR code線上點餐",3 週前,2026-02-05T02:05:52.718005817Z
羽樂歐陸創意料理,ChIJlVNfWeqrQjQRqO4OMZ0keZ4,力微加,5,"連續幾年都來羽樂慶生
每次來都很喜歡這邊的服務和食物
老闆的理念很棒 都有很正確的傳達到我們身上～

今年一月來訪 點了平常比較少吃的食物試試看
當日客人很多
對餐點有些疑問 沒有當下提出
之後 有線上上提出問題

老闆的處理方式 非常的用心和認真
很感謝你們重視我們兩個 小小客人的意見和想法

謝謝～",本週,2026-02-22T13:48:04.585791867Z
羽樂歐陸創意料理,ChIJlVNfWeqrQjQRqO4OMZ0keZ4,CHING CHIEN,5,"服務真的超級好，每個員工都很親切也很用心。
環境也很乾淨，給人就是很舒適的感覺～
飲料跟甜點有點太甜之外，不過其他還是很優秀的👍🏻",2 週前,2026-02-12T12:15:55.927756643Z
羽樂歐陸創意料理,ChIJlVNfWeqrQjQRqO4OMZ0keZ4,Jane Shen,5,"我們吃下來人均大概600元
義大利麵、燉飯都還蠻好吃的
而且壽星還有很浮誇的蛋糕盤幫你慶生
也會幫你拍照留念 服務很好！！
完全不像這個價格的服務💕",1 個月前,2026-01-15T15:31:51.545513885Z
羽樂歐陸創意料理,ChIJlVNfWeqrQjQRqO4OMZ0keZ4,Vikki Wang,5,"今天來慶生，東西一樣好好吃，服務一樣好貼心。生日蛋糕現在下面有會唱歌的旋轉木馬轉盤～今天天氣很冷，要離開的時候服務人員好貼心的給我們一人一個暖暖包～心好暖啊～

讓人暖心的，是總超出人們預期的貼心～
東西好吃是基本，真正讓我愛上的，是這裡的服務與氛圍～",1 個月前,2026-01-21T13:56:09.761810047Z
WilsonPark 威爾森公園 （Steak & Wine）,ChIJfzjbheitQjQRa3PNwDBxq6E,Polly Chou,4,"威靈頓牛排為求整體濕潤不乾噎
採用中式酥皮包裹培根、蘑菇和紐西蘭菲力
菲力牛排非常嫩、牛肉風味濃鬱
酥皮帶有厚度吃起來像玉米濃湯上的酥皮XD

其他副餐也毫不遜色，超驚喜
每一道菜都精緻的搭配不同食材與醬料
匠心獨具，創意又巧思
而且份量頗足～

◼️ 威靈頓牛排NT$1980
◼️ 摩洛哥烤雞腿串NT$380
◼️ 1月季節限定｜炒青花筍NT$380
◼️ 炙燒鮪魚油醋沙拉（加無花果）NT$480
◼️ 1月季節限定｜扇貝（2份）NT$760

◻️ 有廁所，提供飲用水（超貼心是溫水喔！）
◻️ 10%服務費，可刷卡
◻️ 寵物友善（不落地）
◻️ 外帶自取打9折",1 個月前,2026-01-14T09:46:07.172106304Z
WilsonPark 威爾森公園 （Steak & Wine）,ChIJfzjbheitQjQRa3PNwDBxq6E,Ariel,5,"這家餐廳真的讓人一吃就愛上🥰 不只環境舒服、服務親切，餐點也道道精彩✨
威靈頓牛排🥩外皮酥香、牛肉鮮嫩多汁，層次非常豐富，真的必點！
另外牛肋眼奶油麵🍝香氣濃鬱但不膩，牛肉超嫩，和奶油醬完美搭配🤍
整體水準很高，完全值得再訪，大推👍😍",1 個月前,2026-01-21T15:29:57.971857569Z
WilsonPark 威爾森公園 （Steak & Wine）,ChIJfzjbheitQjQRa3PNwDBxq6E,Jamie Ch.,5,"追蹤Wilson park的ig一陣子，
一直被威靈頓牛排吸引，
很久沒吃，
也沒有很多間有這道，
於是貼給男友看，
男友沒吃過但也很有興趣，
附近其實很多停車場蠻好停車，
裡面裝潢氣氛都很好，
我們被安排到窗邊位置，
今天天氣很好採光也很美，
點了前菜 「日式A5和牛海膽」，
威靈頓牛排之外，
還點了伊比利豬排加手工寬麵，
對於我們兩個來說真的很多…
撐整天。
威靈頓牛排真的很嫩，搭上酥皮…
真的太美味，
單吃不用加其他調味就很香，
伊比利豬排也很嫩！！
寬麵也很有嚼勁，不是軟的，我還蠻喜歡，
男友覺得可以再煮久一點，
但份量跟我想的不同，有點多…
我們這餐直接抵兩餐…
下次有機會，還想吃別的。",3 個月前,2025-11-23T11:57:55.421240285Z
WilsonPark 威爾森公園 （Steak & Wine）,ChIJfzjbheitQjQRa3PNwDBxq6E,Zoe Chang,5,"主打原肉鮮切乾式熟成牛排
空間溫暖舒服，帶點英倫風格
有吧檯、座位區和包廂，很適合節日、紀念日，與朋友和另一半好好慶祝一下
//
🥩鴨肝慕斯手工麵包 $200
鴨肝慕斯細緻滑順，搭配瑪莎拉酒的微酸甜，抹在麵包上很剛好
🥩炙燒鮭魚百香果無花果沙拉 $480
生菜清脆，百香果油醋酸香清爽，鮭魚油脂加上辣味核桃，層次豐富
🥩胭脂蝦蝦滑 $580
蝦油香氣明顯，蝦滑柔軟帶甜味，單吃就很有存在感，配麵包也加分
🥩明太子日本山藥 $220
山藥清脆滑順，明太子鹹香剛好
🥩乾式熟成美國 Prime 肋眼牛排 28 DAY $2980
28 天熟成讓香氣更集中，口感也比一般牛排來得扎實
這次選擇三分熟，切開後肉色較深，能感受到乾式熟成特有的香氣，帶著一點巧克力與堅果的氣息",2 個月前,2025-12-24T03:27:27.090211239Z
WilsonPark 威爾森公園 （Steak & Wine）,ChIJfzjbheitQjQRa3PNwDBxq6E,Jeep Loopy,5,"沙拉很好吃  還有無花果
威靈頓牛排好吃  推薦
份量十足！  需要事先預訂喔",1 個月前,2025-12-31T01:11:43.688313221Z
甲蟲秘境,ChIJsS8FHNyvQjQRwtaRVpPMyAI,珍紅,5,親子餐廳型別，會稍微「熱鬧」，不過佈置不錯，相當不錯的甲蟲餐廳，週末常客滿記得提早訂位,1 週前,2026-02-14T05:10:21.328317104Z
甲蟲秘境,ChIJsS8FHNyvQjQRwtaRVpPMyAI,徐心怡,5,"是親子餐廳也是寵物友善餐廳，可以體驗認識甲蟲及其他冷血動物們的親密接觸，有親切的姐姐說明動物的名稱、習性，並且帶領小朋友體驗及拍照🤳體驗完還會送一張動物貼紙做紀念！！

餐點最好吃的是甲蟲鬆餅，不僅可愛味道也很不錯，兒童餐覺得實在是太迷你價錢偏高，直接點大人餐點比較划算，小孩光顧著玩什麼都覺得好吃😄

木粒池小朋友玩了很久不累也不餓，雙人套餐有兩份主餐、兩杯飲料、兩個鬆餅還有一個獨角仙模型，這應該是最划算的餐點，環境佈置中有很多很大的甲蟲模型我蠻喜歡，可愛很吸引小朋友的目光🧐",3 個月前,2025-11-17T14:23:37.491885659Z
甲蟲秘境,ChIJsS8FHNyvQjQRwtaRVpPMyAI,蓉蓉,5,親子友善有尿布臺，廁所無異味，餐廳裝潢有特色👍🏻服務人員服務很好，推推,本週,2026-02-20T07:00:14.828790357Z
甲蟲秘境,ChIJsS8FHNyvQjQRwtaRVpPMyAI,林冠伶,5,"環境整體感還不錯
蠻用心佈置的一家親子餐廳
小朋友遊戲區可以看書，玩小石頭跟樂高
還有很多相關的玩偶可以一起拍照玩耍
爸媽們可以很放心的放生小孩在一旁吃東西休息
假日還可以跟甲蟲還有鍬形蟲、兜蟲近距離互動，人員講解也非常清楚
用餐時間有2小時
餐點炸物偏多 整體吃的很飽
小朋友餐食也偏多 吃不完
（但可能因為遊戲區太吸引他們導致不吃完😂）
飲品還不錯喝
有機會會在過來看看",5 個月前,2025-09-14T05:01:06.203541898Z
甲蟲秘境,ChIJsS8FHNyvQjQRwtaRVpPMyAI,Tiffany Chi,5,店內環境明亮，設計的很用心，從內場到洗手間到櫃檯到處都有昆蟲裝飾，服務人員也很用心很親切，有小小的遊戲區可以讓家長暫時解放雙手，讚讚👍🏻,3 個月前,2025-11-23T09:48:36.148747628Z
Second Floor 貳樓西湖店,ChIJCyKuHW-sQjQRLbLgae6QWSU,Lazarus Hung,5,"生意很好，強烈建議要訂位，否則現場候位可能需要一小時。

交通便利，鄰近捷運站，附近汽機車停車也都很方便。

吃過很多次早午餐，從來沒有踩過雷，基本上口味都還不錯。餐點份量充足，除了主餐外，還附有2杯飲料，其中第二杯是可以無限續杯的。

外場服務人員Hana很親切，也很及時注意各桌狀況，值得嘉許。",本週,2026-02-22T04:21:45.370124504Z
Second Floor 貳樓西湖店,ChIJCyKuHW-sQjQRLbLgae6QWSU,Jojo Wang,5,"我蠻推薦Second Floor「貳樓」，我個人是第一次吃，住內湖的朋友有吃過推薦覺得好吃有質感，朋友想說我考上考試，吃好一點慶祝一下，剛好彼此放風，只要付自己吃的部分就好，可以好好聊天的感覺真棒👍🏻
貳樓平均價位、消費方式

貳樓Second Floor每人低消需點選選單上的任１品項（加價購專案除外），也就是說，每位顧客需至少消費１份選單上有的正餐或飲品，且需加收10%服務費。餐點部分，以豐富多樣的早午餐盤、義大利麵、燉飯、漢堡、排餐等為主軸，平均價位落在360元～760元之間。

我朋友本來要訂［南港車站店］生意超好的！訂位都滿了！後來發現［西湖店還有］，但，只剩下10:30的時間，果然是名副其實的早午餐😁假日生意也很好呢！位於內湖科學園區，看網路介紹，平日晚上生意更好。「貳樓」很搶手呢！

餐點很厲害，我跟朋友點了：
橙香法式丹麥舒肥雞、班尼蛋奶油炒菇煙燻鮭魚，各有2杯飲料，點了新鮮果汁和茶飲；甜點是苦甜脆脆黑巧冰磚及布蕾波波冰淇淋杯。
而且飲料無限續杯，還可以喝不同的飲料，我跟朋友喝了熱飲2次，冷飲1次、果汁1次；桌上有提供番茄醬、白開水和黑胡椒。服務員還會幫忙補白開水，超讚！不用擔心聊天口會渴

「貳樓西湖店」用餐時間2小時，位於捷運西湖站旁邊，走路大約五分鐘就到了。是個寵物友善餐廳，當天用餐，我們隔壁桌就帶了一隻狗狗，很乖的坐趴在桌子底下，中大型犬很可愛。",1 個月前,2026-01-25T22:09:02.290907089Z
Second Floor 貳樓西湖店,ChIJCyKuHW-sQjQRLbLgae6QWSU,Chuang,5,適合聚餐，寵物友善的環境。食物都蠻好吃的，飯跟麵類份量也蠻大的，飲料也可以無限續杯。兒童慶生還有特別的佈置與蛋糕，真的很用心～,1 個月前,2026-01-19T12:48:18.735977700Z
Second Floor 貳樓西湖店,ChIJCyKuHW-sQjQRLbLgae6QWSU,QQ熊,5,餐點、服務都令人滿意！寵物友善，而且會給毛孩美味的炒蛋，這點也非常加分！已多次回訪👍,1 個月前,2026-01-18T14:49:26.376992827Z
Second Floor 貳樓西湖店,ChIJCyKuHW-sQjQRLbLgae6QWSU,張森維,5,"今天跟女朋友四週年一起來吃貳樓！
整體餐點很好吃！而且女友還有備注我們今天是來四週年！感謝帥哥服務生ARIC幫我們準備小驚喜蛋糕跟巧克力畫
之後有機會還會來吃👍👍👍",1 個月前,2026-01-17T04:57:57.187351332Z
大樹先生的家,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,YiChun,3,"有點小差勁…（附上選單）
6歲以下小朋友每位另收$150清潔費，室內的小朋友遊樂空間6歲～18歲不能進去，雖然有明文規定，但如果有小朋友真的要進去玩，店家會是狀況而定～進去前還有專員幫忙消毒！

另外還有室外蠻大的空間，沙坑、學步腳踏車都可以使用～

用餐區域蠻寬大的，不會擁擠動線還可以，另外還有類似包廂的地方！

但是！餐點真的有點差…
不好吃先放在一邊，食物（炒東西類的）還是冰的，沒錯就是冰的！感覺就是微波食品微波時間太短…說要重新製作一份，結果在上一份味增湯是冷的…
然後餐點製作時間偏久！
價格也蠻貴的，如果說是因為一部分成本是小朋友的遊戲維護，我可以接受，但這個部分已經額外收費了，所以餐點價格我覺得不太合理！",1 個月前,2026-01-07T11:40:58.820674839Z
大樹先生的家,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,歐米茄,5,"很重要⚠️一定要訂位❗️
即便平日是下大雨天☔️
店家依然是客滿的狀態歐!!!

桌位不多,位子很寬敞
環境乾淨整潔,蠻舒適的
遊戲區真的很大,選擇也多
如過天氣好,店外也是能玩的
最棒的是：消毒及注意安全
遊戲區門口有人員在維護。

餐點口味還不錯
份量給的也很足夠
小孩可不點餐，能與大人共食。",1 個月前,2026-01-05T14:02:18.675005198Z
大樹先生的家,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,NiNi Lin,5,舉辦各種親子活動的好地方～提供的食物很好吃，食材也很新鮮，生菜沙拉裡面還有切片的鮑魚，很用心準備的料理。現場還有陪玩的主持人大哥哥，帶著小朋友玩各種吹泡泡還有大地遊戲，室內還有小朋友的遊戲間，有很多烹飪小廚房跟積木，室外還有兒童玩的小車，空間都規劃的很好。,2 週前,2026-02-06T02:00:57.782072528Z
大樹先生的家,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,林菌宏,4,"餐點上份量很足夠，配色配菜也很豐富
但口味上一般般就求個吃飽😆
兒童餐的車車造型小朋友很喜歡（麵包、蛋、炸南瓜、主食）

餐廳環境簡單乾淨，有哺乳室、兒童洗手檯
再來就是小朋友最愛的遊樂區
不得不說以親子餐廳來講～這遊樂區很豐富
沙池、球池、溜滑梯、戶外車車、小樹屋、各種家家酒、積木區

進場也有服務人員把關消毒，整體來說挺放心的👍",1 個月前,2026-01-07T06:17:28.131256247Z
大樹先生的家,ChIJaSZ-CpupQjQRaqvVbaJ4FaM,Doris,5,"義大利麵好吃～戶外有沙池、騎車車～
室內有球池、各式廚房玩具跟軌道車車可以玩
小孩一個人低消250～不論有沒有點餐
今天來二場，早場9-11點來參加10點的昆蟲體驗～小孩非常喜歡❤️",2 個月前,2025-12-07T10:06:07.946943969Z
