place_id,name,formatted_address,high_chair_available,kids_menu,spacious_seating,kid_noise_tolerant,review_signals,ai_summary,ai_summary_refined,ai_summary_final_v4,ai_summary_final_clean,ai_summary_humanized
ChIJ1-Osh6CvQjQRE5DbEVM_GGk,Luguo Cafe / Z Space,"112臺灣臺北市北投區學園路1號北藝大校園內-關渡美術館2樓 1號 二樓, 關渡美術館",unknown,unknown,yes,no,室內座位舒適且空間寬敞,這裡有寬敞的座位區，室內座位舒適且空間寬敞，是質感佳的親子友善咖啡廳，適合與家人一同前往品味。,座位空間較寬敞，整體環境對帶小孩的家庭較為友善。（評論顯示：室內座位舒適且空間寬敞）,座位空間較寬敞，整體環境對帶小孩的家庭較為友善，整體用餐空間較為寬鬆。,整體來看，座位空間較寬敞，用餐節奏相對從容，對家庭客群而言，整體便利度較高。,整體來看，座位空間不擁擠，用餐節奏比較放鬆，對家庭客人來說會比較方便。
ChIJ13WfAXupQjQRPSGT92Z0z88,咖啡實驗室,100臺灣臺北市中正區忠孝東路二段64巷6號,unknown,unknown,no,no,,雖然關於嬰幼兒設備的評論不多，但這裡整體的環境舒適，適合同家人一起共享美食。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估，建議可依實際需求進一步評估。,現有評論顯示，這家咖啡廳的親子友善訊號較少，若有明確需求，建議先向店家確認。,目前看起來親子相關資訊不多，建議先向店家確認。
ChIJ39G4keGtQjQRd5mdfKmFUlA,Atlas Brunch & Pasta 亞斯義大利麵,114臺灣臺北市內湖區民權東路六段296巷56號,unknown,unknown,yes,yes,,這裡有寬敞的座位區、對孩童聲音較為包容，是十分熱門的親子友善早午餐店，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，整體用餐空間較為寬鬆。,從親子用餐角度來看，座位空間較寬敞，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,從親子用餐角度來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJ4QL3EsjWDRQRAj_JjQvT6GM,森優咖啡 Tribu Cafe,110臺灣臺北市信義區崇德街74號,unknown,unknown,yes,no,空間很大舒服乾淨整潔,這裡有寬敞的座位區，空間很大舒服乾淨整潔，是十分熱門的親子友善咖啡廳，適合與家人一同前往品味。,座位空間較寬敞，整體環境對帶小孩的家庭較為友善。（評論顯示：空間很大舒服乾淨整潔）,座位空間較寬敞，整體環境對帶小孩的家庭較為友善，空間很大舒服乾淨整潔。,這家咖啡廳座位空間較寬敞，用餐節奏相對從容，整體對帶小孩前往用餐較為友善。,這家咖啡廳座位空間不擁擠，用餐節奏比較放鬆，帶小孩來用餐相對輕鬆。
ChIJ6ZLHHYmrQjQRKeVAlEcW3Jk,BACKMOUNT.後山咖啡/平日不限時咖啡廳/後山埤美食/下午茶外送/寵物友善/親子友善/南港公園餐廳,115臺灣臺北市南港區福德街373巷23號,unknown,unknown,yes,yes,十分熱門的咖啡店，親子友善 | 內裡挑高空間開闊,這裡有寬敞的座位區、對孩童聲音較為包容，十分熱門的咖啡店，親子友善，是精緻的親子友善咖啡廳，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：十分熱門的咖啡店，親子友善 | 內裡挑高空間開闊）,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,從親子用餐角度來看，座位空間較寬敞，整體氛圍對親子用餐較包容，整體服務感受偏友善，整體環境較適合親子同行。,從親子用餐角度來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，整體服務感受偏友善，帶小孩來用餐會比較輕鬆。
ChIJ7-iV4NmpQjQR0aadctCL7hk,咖啡俱樂部 COFFEE CLUB,100臺灣臺北市中正區忠孝西路一段122號,unknown,unknown,no,no,,雖然關於嬰幼兒設備的評論不多，但這裡整體的環境舒適，適合同家人一起共享美食。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估，建議可依實際需求進一步評估。,從目前資訊來看，這家咖啡廳在親子用餐條件上較不突出，帶小孩前往前可先確認現場安排。,目前親子條件較不明確，帶小孩前建議先確認現場情況。
ChIJ8e4b2r2tQjQRR3LLK-OpD_4,HSQ COFFEE,114臺灣臺北市內湖區民權東路六段121之1號,unknown,unknown,no,no,,雖然關於嬰幼兒設備的評論不多，但這裡整體的環境舒適，適合同家人一起共享美食。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估，建議可依實際需求進一步評估。,現有評論顯示，這家咖啡廳的親子友善訊號較少，若有明確需求，建議先向店家確認。,目前看起來親子相關資訊不多，建議先向店家確認。
ChIJA7xCuqirQjQRGwBOltepJQk,安好食 和平店,106臺灣臺北市大安區辛亥路二段201號1樓,unknown,unknown,yes,yes,,這裡有寬敞的座位區、對孩童聲音較為包容，是十分熱門的親子友善餐廳，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，整體用餐空間較為寬鬆。,以家庭聚餐需求來看，座位空間較寬敞，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,以家庭聚餐需求來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJA9vu3HqrQjQRWhhwjOBFkcA,找諶 Chen’s Brunch,115臺灣臺北市南港區昆陽街58號,unknown,unknown,no,yes,適合想簡單飽餐一頓的早晨✨,這裡有對孩童聲音較為包容，適合想簡單飽餐一頓的早晨✨，是口碑不錯的親子友善早午餐店，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：適合想簡單飽餐一頓的早晨✨）,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，適合想簡單飽餐一頓的早晨✨。,這家早午餐店整體氛圍對親子用餐較包容，整體環境較適合親子同行。,這家早午餐店整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJaSZ-CpupQjQRaqvVbaJ4FaM,大樹先生的家,106臺灣臺北市大安區潮州街38號,unknown,yes,yes,yes,用餐區域蠻寬大的，不會擁擠 | 兒童餐的車車造型小朋友很喜歡,這裡有兒童餐、寬敞的座位區、對孩童聲音較為包容，用餐區域蠻寬大的，不會擁擠，是氣氛溫馨的親子友善餐廳，適合與家人一同前往品味。,提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：用餐區域蠻寬大的，不會擁擠 | 兒童餐的車車造型小朋友很喜歡）,提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,這家餐廳備有兒童餐，座位空間較寬敞，整體氛圍對親子用餐較包容，另帶有遊戲或活動元素，整體環境較適合親子同行。,這家餐廳有兒童餐可選，座位空間不擁擠，整體氛圍對孩子活動較能接受，另帶有遊戲或活動元素，帶小孩來用餐會比較輕鬆。
