name,district,cuisine,phone,website_url,reservation_url,place_id
「早安亞譜-興中店,南港區,早午餐,02 2783 5661,https://www.facebook.com/%E6%97%A9%E5%AE%89%E4%BA%9E%E8%AD%9C%E8%88%88%E4%B8%AD%E5%BA%97-100280088887854,,ChIJjcMN1u2rQjQR2TXnggAE0h8
1010湘 天母三越店,士林區,中式料理,02 2875 2955,http://www.1010restaurant.com/,,ChIJq6qqqgasQjQRUVuv8NetxkA
1010湘食堂 遠百信義店,信義區,中式料理,02 2729 0597,https://www.1010restaurant.com/,,ChIJ0SFCGyOrQjQRx-fDUrsYJvc
1021炭烤吐司-石牌致遠店,北投區,早午餐,02 2821 8353,,,ChIJibotTQCvQjQRrTBtFzaQncE
108早午餐（貴陽店),萬華區,早午餐,02 2311 6638,,,ChIJc9Q84qepQjQRbp2NUplR8x8
157料理,萬華區,台式料理,02 2314 3895,,,ChIJcQY8MKipQjQRUUFUWrZM7Fg
191 enjoy 早餐店,文山區,早午餐,02 2234 3191,https://www.facebook.com/pages/191enjoy-%E6%97%A9%E9%A4%90/399037973599001,,ChIJm0n_IGWqQjQR8o7BmQS0mm0
1975 Antique’s Cafe Tea Room,北投區,咖啡廳,02 2897 6885,https://www.facebook.com/743580522660711/,,ChIJ24oL92qvQjQRAgYcZh0ScI8
1985窯烤披薩(台北中山店),中山區,披薩,02 2515 1985,https://1985pizza.com.tw/,,ChIJW0OQrW6rQjQRTBBxz1LZCdw
1996 COFFEE,北投區,咖啡廳,02 2898 5289,https://instagram.com/1996_coffee?igshid=YmMyMTA2M2Y=,,ChIJ4cQJ4KivQjQR1Tvuk-F3hxo
201 Cafe Restaurant,萬華區,咖啡廳,02 2312 2273,,,ChIJh3gOxAmpQjQRnmo-kWg8e_Y
2018搞食堂,內湖區,中式料理,02 2631 5679,,,ChIJY60vUo2tQjQRwPwb4_mJCOQ
208早餐,北投區,早午餐,02 2821 1237,,,ChIJnYxSleuvQjQRVJKzqV8upU4
272早午餐,大同區,早午餐,02 2595 3201,,,ChIJtw5OakipQjQRbMVgZ25379M
292早餐店,士林區,早午餐,02 2883 4253,,,ChIJgdysVU2vQjQRuq5CG1Ya-b4
29號館 義大利麵,大安區,義大利料理,02 2706 6577,https://www.facebook.com/No.29thPastaRestaurant,,ChIJu1lFmSuqQjQRk53G7FFCMNo
30小時老麵吐司,內湖區,烘焙/甜點,02 2630 8050,,,ChIJJTPZCnStQjQRIYdV7Je_P8E
313鵝肉擔,北投區,中式料理,02 2826 1751,https://www.facebook.com/pages/313%E9%B5%9D%E8%82%89%E6%94%A4/122464341164582,,ChIJgUo_u46uQjQRTuXU4tZmReM
4+ Break Breakfast,中山區,早午餐,02 2507 3505,https://www.facebook.com/4breakbreakfast/,,ChIJLYuEGmKpQjQRPcp6vt8pTnM
