Place ID,餐廳名稱,地址,Google 地圖網址,高腳椅屬性,佐證/說明,現有資料庫名稱,現有資料庫地址,目前兒童椅屬性,建議兒童椅屬性,目前兒童餐具屬性,目前兒童餐屬性,現有親子分級
ChIJ-1lG2OerQjQRSHGYpgyTSSY,漢來名人坊 台北世貿店,110台灣台北市信??西村里基隆路一段333號34樓,https://www.google.com/maps/search/?api=1&query=%E6%BC%A2%E4%BE%86%E5%90%8D%E4%BA%BA%E5%9D%8A%20%E5%8F%B0%E5%8C%97%E4%B8%96%E8%B2%BF%E5%BA%97&query_place_id=ChIJ-1lG2OerQjQRSHGYpgyTSSY,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,漢來名人坊 台北世貿店,110台灣台北市信??西村里基隆路一段333號34樓,likely,yes,likely,no,高
ChIJ-WB-7nerQjQRB4yWvA0THi4,磚窯古早料理南港創始店,115台灣臺北市南港區松河街318號,https://www.google.com/maps/search/?api=1&query=%E7%A3%9A%E7%AA%AF%E5%8F%A4%E6%97%A9%E6%96%99%E7%90%86%E5%8D%97%E6%B8%AF%E5%89%B5%E5%A7%8B%E5%BA%97&query_place_id=ChIJ-WB-7nerQjQRB4yWvA0THi4,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,磚窯古早料理南港創始店,115台灣臺北市南港區松河街318號,unknown,yes,unknown,unknown,資訊不足
ChIJ-xu50L6rQjQR-80MoLznv44,H?rs bistr?她,110台灣臺北市信義區新仁里忠孝東路四段553巷22弄4號,https://www.google.com/maps/search/?api=1&query=H%C3%ABrs%20bistr%C3%B6%E5%A5%B9&query_place_id=ChIJ-xu50L6rQjQR-80MoLznv44,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,H?rs bistr?她,110台灣臺北市信義區新仁里忠孝東路四段553巷22弄4號,unknown,yes,unknown,no,高
ChIJ-yeXD9erQjQR7H3fnZO8esg,CHIT CHAT Cafe 南京店,105台灣臺北市松山區吉祥里南京東路五段38號1樓,https://www.google.com/maps/search/?api=1&query=CHIT%20CHAT%20Cafe%20%E5%8D%97%E4%BA%AC%E5%BA%97&query_place_id=ChIJ-yeXD9erQjQR7H3fnZO8esg,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,CHIT CHAT Cafe 南京店,105台灣臺北市松山區吉祥里南京東路五段38號1樓,unknown,yes,unknown,unknown,資訊不足
ChIJ-zZSZhyrQjQRldSj2tMwmzQ,福七早餐FUCHI-民生店,105台灣臺北市松山區松基里民生東路三段130巷32號1樓,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E4%B8%83%E6%97%A9%E9%A4%90FUCHI-%E6%B0%91%E7%94%9F%E5%BA%97&query_place_id=ChIJ-zZSZhyrQjQRldSj2tMwmzQ,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,福七早餐FUCHI-民生店,105台灣臺北市松山區松基里民生東路三段130巷32號1樓,unknown,yes,unknown,no,高
ChIJ0032cACrQjQRSk029YpyUqw,義百代餐館南港店,11577台灣臺北市南港區西新里南港路三段9-2號,https://www.google.com/maps/search/?api=1&query=%E7%BE%A9%E7%99%BE%E4%BB%A3%E9%A4%90%E9%A4%A8%E5%8D%97%E6%B8%AF%E5%BA%97&query_place_id=ChIJ0032cACrQjQRSk029YpyUqw,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,義百代餐館南港店,11577台灣臺北市南港區西新里南港路三段9-2號,unknown,yes,unknown,unknown,中
ChIJ04yBjBWvQjQReUH9xXgLaCo,蓬萊台菜餐廳,11252台灣臺北市北投區中和街238號1F,https://www.google.com/maps/search/?api=1&query=%E8%93%AC%E8%90%8A%E5%8F%B0%E8%8F%9C%E9%A4%90%E5%BB%B3&query_place_id=ChIJ04yBjBWvQjQReUH9xXgLaCo,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,蓬萊台菜餐廳,11252台灣臺北市北投區中和街238號1F,unknown,yes,unknown,unknown,資訊不足
ChIJ079AtyOrQjQRKtxKHhdlL80,南北合小館,110台灣臺北市信義區興雅里永吉路30巷158弄15號,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E5%8C%97%E5%90%88%E5%B0%8F%E9%A4%A8&query_place_id=ChIJ079AtyOrQjQRKtxKHhdlL80,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,南北合小館,110台灣臺北市信義區興雅里永吉路30巷158弄15號,unknown,yes,unknown,no,高
ChIJ0TUhK7mrQjQRU5RfFe76JMg,11日和 │ ???,110台灣臺北市信義區新仁里忠孝東路四段553巷12號1樓之一,https://www.google.com/maps/search/?api=1&query=11%E6%97%A5%E5%92%8C%20%E2%94%82%20%E3%83%91%E3%82%B9%E3%82%BF&query_place_id=ChIJ0TUhK7mrQjQRU5RfFe76JMg,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,11日和 │ ???,110台灣臺北市信義區新仁里忠孝東路四段553巷12號1樓之一,unknown,yes,unknown,unknown,資訊不足
ChIJ0XKNPdKpQjQRRxv8pHHkMt4,BOE歐點歐式餐酒館Bits of Eur,104台灣臺北市中山區圓山里玉門街1號,https://www.google.com/maps/search/?api=1&query=BOE%E6%AD%90%E9%BB%9E%E6%AD%90%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8Bits%20of%20Eur&query_place_id=ChIJ0XKNPdKpQjQRRxv8pHHkMt4,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,BOE歐點歐式餐酒館Bits of Eur,104台灣臺北市中山區圓山里玉門街1號,unknown,yes,unknown,no,資訊不足
ChIJ0aAfEd8BaDQRNjnlm9gF9s4,LI RA義大利廚房,116台灣臺北市文山區木新路三段67號,https://www.google.com/maps/search/?api=1&query=LI%20RA%E7%BE%A9%E5%A4%A7%E5%88%A9%E5%BB%9A%E6%88%BF&query_place_id=ChIJ0aAfEd8BaDQRNjnlm9gF9s4,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,LI RA義大利廚房,116台灣臺北市文山區木新路三段67號,unknown,yes,unknown,unknown,資訊不足
ChIJ0yaH1RCrQjQR52gRDsxW-UA,Osteria Rialto 雅朵義大利餐館-台北餐酒館 義大利麵 窯烤pizza 人氣訂位推薦 2026必吃推薦美食 道地異國料理 創意料理 聚餐慶生餐廳 Italian restaurant東區國父紀念館附近 PTT Dcard,106台灣臺北市大安區正聲里光復南路260巷5號,https://www.google.com/maps/search/?api=1&query=Osteria%20Rialto%20%E9%9B%85%E6%9C%B5%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E9%A4%A8-%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8%20%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%20%E7%AA%AF%E7%83%A4pizza%20%E4%BA%BA%E6%B0%A3%E8%A8%82%E4%BD%8D%E6%8E%A8%E8%96%A6%202026%E5%BF%85%E5%90%83%E6%8E%A8%E8%96%A6%E7%BE%8E%E9%A3%9F%20%E9%81%93%E5%9C%B0%E7%95%B0%E5%9C%8B%E6%96%99%E7%90%86%20%E5%89%B5%E6%84%8F%E6%96%99%E7%90%86%20%E8%81%9A%E9%A4%90%E6%85%B6%E7%94%9F%E9%A4%90%E5%BB%B3%20Italian%20restaurant%E6%9D%B1%E5%8D%80%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%99%84%E8%BF%91%20PTT%20Dcard&query_place_id=ChIJ0yaH1RCrQjQR52gRDsxW-UA,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,Osteria Rialto 雅朵義大利餐館-台北餐酒館 義大利麵 窯烤pizza 人氣訂位推薦 2026必吃推薦美食 道地異國料理 創意料理 聚餐慶生餐廳 Italian restaurant東區國父紀念館附近 PTT Dcard,106台灣臺北市大安區正聲里光復南路260巷5號,unknown,yes,unknown,unknown,資訊不足
ChIJ1Tl3NsCpQjQRJOPnahxr1Cs,大樹義麵坊,100台灣臺北市中正區林森南路45-1號,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E6%A8%B9%E7%BE%A9%E9%BA%B5%E5%9D%8A&query_place_id=ChIJ1Tl3NsCpQjQRJOPnahxr1Cs,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,大樹義麵坊,100台灣臺北市中正區林森南路45-1號,unknown,yes,unknown,unknown,資訊不足
ChIJ1W2EMSCpQjQRe7XFB7_R9Ak,JONAJA就那家早午餐,104台灣臺北市中山區行政里農安街231號,https://www.google.com/maps/search/?api=1&query=JONAJA%E5%B0%B1%E9%82%A3%E5%AE%B6%E6%97%A9%E5%8D%88%E9%A4%90&query_place_id=ChIJ1W2EMSCpQjQRe7XFB7_R9Ak,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,JONAJA就那家早午餐,104台灣臺北市中山區行政里農安街231號,unknown,yes,unknown,no,高
ChIJ1aZy0q6pQjQRwBhj14mvCbo,兩喜號 Liang Xi Hao - 西園店,108台灣臺北市萬華區西園路一段194號,https://www.google.com/maps/search/?api=1&query=%E5%85%A9%E5%96%9C%E8%99%9F%20Liang%20Xi%20Hao%20-%20%E8%A5%BF%E5%9C%92%E5%BA%97&query_place_id=ChIJ1aZy0q6pQjQRwBhj14mvCbo,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,兩喜號 Liang Xi Hao - 西園店,108台灣臺北市萬華區西園路一段194號,unknown,yes,unknown,unknown,資訊不足
ChIJ1eXQShWrQjQR-9Ev_CR9KkI,初泰信義象山門市,110台灣臺北市信義區信義路五段122號,https://www.google.com/maps/search/?api=1&query=%E5%88%9D%E6%B3%B0%E4%BF%A1%E7%BE%A9%E8%B1%A1%E5%B1%B1%E9%96%80%E5%B8%82&query_place_id=ChIJ1eXQShWrQjQR-9Ev_CR9KkI,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,初泰信義象山門市,110台灣臺北市信義區信義路五段122號,unknown,yes,unknown,unknown,中
ChIJ23BqjkavQjQRdiuskERiNOc,PRIMO PIZZA 布利莫義式窯烤披薩 無接受訂位 週一公休,112062台灣臺北市北投區立農里西安街二段87號1樓,https://www.google.com/maps/search/?api=1&query=PRIMO%20PIZZA%20%E5%B8%83%E5%88%A9%E8%8E%AB%E7%BE%A9%E5%BC%8F%E7%AA%AF%E7%83%A4%E6%8A%AB%E8%96%A9%20%E7%84%A1%E6%8E%A5%E5%8F%97%E8%A8%82%E4%BD%8D%20%E9%80%B1%E4%B8%80%E5%85%AC%E4%BC%91&query_place_id=ChIJ23BqjkavQjQRdiuskERiNOc,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,PRIMO PIZZA 布利莫義式窯烤披薩 無接受訂位 週一公休,112062台灣臺北市北投區立農里西安街二段87號1樓,unknown,yes,unknown,unknown,資訊不足
ChIJ24ETXymtQjQRznH-ZnUhaK8,BirDining蔦飼料餐食料理,10491台灣臺北市中山區大直里大直街32號,https://www.google.com/maps/search/?api=1&query=BirDining%E8%94%A6%E9%A3%BC%E6%96%99%E9%A4%90%E9%A3%9F%E6%96%99%E7%90%86&query_place_id=ChIJ24ETXymtQjQRznH-ZnUhaK8,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,BirDining蔦飼料餐食料理,10491台灣臺北市中山區大直里大直街32號,unknown,yes,unknown,no,高
ChIJ24Za5H-uQjQRVinjqQDbZUo,女娘的店,111台灣臺北市士林區天和里天母東路97號,https://www.google.com/maps/search/?api=1&query=%E5%A5%B3%E5%A8%98%E7%9A%84%E5%BA%97&query_place_id=ChIJ24Za5H-uQjQRVinjqQDbZUo,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,女娘的店,111台灣臺北市士林區天和里天母東路97號,unknown,yes,unknown,no,高
ChIJ2SJ2x6mvQjQRZit4gMTJ-ZM,萬麗軒,111台灣臺北市士林區中山北路五段470巷8號1樓,https://www.google.com/maps/search/?api=1&query=%E8%90%AC%E9%BA%97%E8%BB%92&query_place_id=ChIJ2SJ2x6mvQjQRZit4gMTJ-ZM,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,萬麗軒,111台灣臺北市士林區中山北路五段470巷8號1樓,unknown,yes,unknown,unknown,中
ChIJ2UiM5KesQjQRVScr2ns4Dxs,餡老滿 南港店,115台灣臺北市南港區經貿二路66號2 樓,https://www.google.com/maps/search/?api=1&query=%E9%A4%A1%E8%80%81%E6%BB%BF%20%E5%8D%97%E6%B8%AF%E5%BA%97&query_place_id=ChIJ2UiM5KesQjQRVScr2ns4Dxs,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,餡老滿 南港店,115台灣臺北市南港區經貿二路66號2 樓,unknown,yes,unknown,unknown,資訊不足
ChIJ2Xa6COqpQjQRCIXxgvtyX3c,JAI宅 義大利麵 西門店,108台灣臺北市萬華區萬壽里武昌街二段50巷10號2樓,https://www.google.com/maps/search/?api=1&query=JAI%E5%AE%85%20%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%20%E8%A5%BF%E9%96%80%E5%BA%97&query_place_id=ChIJ2Xa6COqpQjQRCIXxgvtyX3c,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,JAI宅 義大利麵 西門店,108台灣臺北市萬華區萬壽里武昌街二段50巷10號2樓,unknown,yes,unknown,unknown,資訊不足
ChIJ2cOIRvKuQjQRl4_OQhmJiAY,福園小館,112台灣臺北市北投區吉慶里實踐街70號,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%9C%92%E5%B0%8F%E9%A4%A8&query_place_id=ChIJ2cOIRvKuQjQRl4_OQhmJiAY,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,福園小館,112台灣臺北市北投區吉慶里實踐街70號,unknown,yes,unknown,unknown,資訊不足
ChIJ2ftTNACrQjQRg-ropAhxozg,Muko Brunch 信義店,110台灣臺北市信義區景新里松勤街51號,https://www.google.com/maps/search/?api=1&query=Muko%20Brunch%20%E4%BF%A1%E7%BE%A9%E5%BA%97&query_place_id=ChIJ2ftTNACrQjQRg-ropAhxozg,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,Muko Brunch 信義店,110台灣臺北市信義區景新里松勤街51號,unknown,yes,unknown,no,高
